                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.3254,                0.98776,                0.95706,                 1.6363,                 1.2526,                0.94382,                0.84477,                0.93182,                0.94435,                0.64641,                 1.1023,                0.62844,                 0.8856,                 1.1316,                0.47978,                0.89861,               0.007921,               0.007921,               0.007921
                     66,                 1.3248,                0.95464,                0.95068,                 1.6706,                 1.2572,                0.93641,                0.85466,                0.92803,                0.93253,                0.62309,                 1.1033,                0.62519,                0.88385,                 1.1337,                0.48931,                0.89908,               0.007888,               0.007888,               0.007888
                     67,                 1.3402,                0.96333,                0.95182,                 1.6611,                  1.272,                0.94017,                0.90191,                0.88236,                0.95281,                0.63396,                 1.1928,                0.66003,                0.89697,                 1.2067,                0.52586,                0.91038,               0.007855,               0.007855,               0.007855
                     68,                  1.321,                0.95831,                0.94982,                 1.6616,                 1.2518,                0.93792,                0.88679,                0.90004,                0.95191,                0.65674,                 1.1131,                0.63608,                0.87794,                  1.148,                0.48354,                 0.8964,               0.007822,               0.007822,               0.007822
                     69,                 1.3032,                0.95728,                0.94819,                 1.6614,                 1.2629,                0.94446,                0.87075,                0.91667,                0.95126,                0.63264,                 1.1895,                0.64169,                0.89431,                  1.192,                0.47439,                0.90825,               0.007789,               0.007789,               0.007789
                     70,                 1.2997,                0.94759,                 0.9424,                 1.6513,                 1.2425,                0.93455,                0.88834,                0.90408,                0.95571,                0.63736,                 1.1037,                0.62613,                0.88288,                   1.15,                0.47273,                 0.9007,               0.007756,               0.007756,               0.007756
                     71,                 1.2866,                0.92122,                0.95177,                 1.6496,                  1.245,                0.94053,                0.86303,                0.93082,                0.95026,                0.63685,                 1.0862,                0.61933,                0.88187,                 1.1208,                 0.4604,                0.89627,               0.007723,               0.007723,               0.007723
                     72,                 1.3013,                0.92419,                0.94061,                 1.6326,                 1.2239,                0.92991,                0.86898,                0.91276,                0.94261,                0.63732,                 1.1013,                0.65083,                0.88162,                 1.1329,                0.54136,                0.89725,                0.00769,                0.00769,                0.00769
                     73,                 1.2992,                0.93769,                0.94642,                 1.6472,                 1.2498,                0.93819,                0.87959,                0.89471,                0.94166,                 0.6604,                 1.0855,                 0.6544,                0.88267,                 1.0863,                0.51275,                0.88743,               0.007657,               0.007657,               0.007657
                     74,                 1.2868,                0.93237,                0.93532,                 1.6431,                 1.2463,                0.92923,                0.87186,                0.90783,                0.94936,                0.66687,                  1.083,                0.64501,                0.87682,                 1.0935,                0.46911,                0.88396,               0.007624,               0.007624,               0.007624
                     75,                 1.3033,                0.93709,                0.93966,                 1.6582,                   1.24,                0.93126,                0.86337,                0.92554,                0.94997,                0.63757,                 1.0916,                0.62326,                0.88126,                 1.1234,                0.46689,                0.89352,               0.007591,               0.007591,               0.007591
                     76,                 1.2752,                0.93031,                0.93084,                  1.619,                 1.2253,                0.92271,                0.84841,                0.92576,                0.94977,                 0.6536,                 1.0737,                0.62608,                0.88047,                 1.1025,                0.47754,                0.89291,               0.007558,               0.007558,               0.007558
                     77,                 1.2911,                0.93946,                0.94388,                 1.6216,                 1.2196,                0.93213,                0.87729,                0.93881,                0.95569,                0.66436,                 1.0788,                0.60554,                0.87263,                 1.1157,                0.44334,                0.88592,               0.007525,               0.007525,               0.007525
